fitness,lr0,momentum,weight_decay,degrees,translate,scale,shear,perspective,hsv_h,hsv_s,hsv_v,mosaic,mixup,fliplr,flipud
0.81095,0.01,0.937,0.0005,0.0,0.1,0.5,0.0,0.0,0.015,0.7,0.4,1.0,0.0,0.5,0.0
0.81492,0.01,0.937,0.0005,0.0,0.1,0.7,0.0,0.0,0.02485,0.7,0.4,1.0,0.0,0.5,0.0
0.81427,0.01,0.98,0.00045,0.0,0.1,0.7,0.0,0.0,0.02485,0.7,0.4,1.0,0.0,0.4919,0.0
0.79882,0.01,0.88912,0.00054,0.0,0.1,0.7,0.0,0.0,0.02173,0.54688,0.4,1.0,0.0,0.5,0.0
0.83002,0.00909,0.98,0.00037,0.0,0.1,0.7,0.0,0.0,0.03325,0.7,0.27999,1.0,0.0,0.4319,0.0
0.84482,0.00863,0.94407,0.00046,0.0,0.0991,0.7,0.0,0.0,0.02571,0.46341,0.34902,0.99783,0.0,0.49919,0.0
0.82122,0.00926,0.94312,0.00037,0.0,0.09517,0.7,0.0,0.0,0.01693,0.68382,0.52626,0.99892,0.0,0.5,0.0
0.83257,0.00935,0.98,0.00038,0.0,0.09656,0.7,0.0,0.0,0.02731,0.57359,0.46726,1.0,0.0,0.41171,0.0
0.81689,0.01053,0.96942,0.00043,0.0,0.09501,0.63376,0.0,0.0,0.01259,0.6296,0.42526,0.90522,0.0,0.41296,0.0
0.83774,0.0089,0.90587,0.00048,0.0,0.10129,0.7,0.0,0.0,0.033,0.44927,0.27501,0.93222,0.0,0.45868,0.0
0.82161,0.01281,0.98,0.00044,0.0,0.10094,0.69157,0.0,0.0,0.01804,0.54263,0.31181,1.0,0.0,0.44415,0.0
0.82792,0.01241,0.98,0.00031,0.0,0.10133,0.69443,0.0,0.0,0.02706,0.51581,0.47211,0.92026,0.0,0.47475,0.0
0.83247,0.00958,0.89532,0.00044,0.0,0.1097,0.7,0.0,0.0,0.0292,0.6642,0.4379,0.99049,0.0,0.5,0.0
0.80185,0.01095,0.91788,0.00037,0.0,0.09341,0.7,0.0,0.0,0.01415,0.59512,0.51333,0.71622,0.0,0.41913,0.0
0.76511,0.01527,0.98,0.00045,0.0,0.08065,0.62025,0.0,0.0,0.03154,0.79226,0.43593,1.0,0.0,0.43331,0.0
0.83245,0.01085,0.98,0.00033,0.0,0.11198,0.60282,0.0,0.0,0.02748,0.68828,0.24598,1.0,0.0,0.45376,0.0
0.81793,0.01349,0.98,0.00032,0.0,0.11241,0.58833,0.0,0.0,0.02543,0.50133,0.25398,0.96545,0.0,0.5,0.0
0.81128,0.01514,0.98,0.00047,0.0,0.11105,0.7,0.0,0.0,0.03377,0.46577,0.43885,0.91756,0.0,0.5,0.0
0.80028,0.01288,0.90521,0.00049,0.0,0.11397,0.69872,0.0,0.0,0.02724,0.80049,0.4851,0.99756,0.0,0.5,0.0
0.79278,0.00813,0.75866,0.00032,0.0,0.07675,0.7,0.0,0.0,0.03044,0.79813,0.25342,0.92168,0.0,0.42628,0.0
0.83068,0.01041,0.92989,0.00037,0.0,0.13762,0.6011,0.0,0.0,0.03255,0.42627,0.25363,0.99601,0.0,0.25371,0.0
0.83363,0.01084,0.97651,0.00033,0.0,0.12344,0.51528,0.0,0.0,0.03113,0.51492,0.40629,0.63985,0.0,0.21034,0.0
0.82492,0.00837,0.98,0.00046,0.0,0.11984,0.56082,0.0,0.0,0.02113,0.49384,0.24493,0.69221,0.0,0.18623,0.0
0.82942,0.00738,0.92929,0.00047,0.0,0.07481,0.56013,0.0,0.0,0.04081,0.4851,0.23655,0.67334,0.0,0.36185,0.0
0.8361,0.00812,0.90931,0.00047,0.0,0.11601,0.49749,0.0,0.0,0.02499,0.72214,0.4212,0.87789,0.0,0.1606,0.0
0.82449,0.01068,0.86647,0.00026,0.0,0.1185,0.7,0.0,0.0,0.03158,0.61497,0.59102,0.81979,0.0,0.08572,0.0
0.82662,0.00889,0.98,0.00042,0.0,0.08085,0.62386,0.0,0.0,0.05,0.6451,0.55171,0.83189,0.0,0.25003,0.0
0.82572,0.0066,0.92197,0.00045,0.0,0.12318,0.7,0.0,0.0,0.04033,0.35969,0.38064,1.0,0.0,0.5,0.0
0.83464,0.00909,0.90572,0.00048,0.0,0.09716,0.60072,0.0,0.0,0.02869,0.85664,0.35001,1.0,0.0,0.08347,0.0
0.78582,0.0101,0.98,0.00043,0.0,0.10508,0.33561,0.0,0.0,0.02764,0.47069,0.24914,1.0,0.0,0.03887,0.0
0.83205,0.0109,0.67662,0.00032,0.0,0.17893,0.7,0.0,0.0,0.02218,0.46849,0.35895,0.87119,0.0,0.3749,0.0
0.82183,0.00974,0.65591,0.00039,0.0,0.11172,0.7,0.0,0.0,0.03184,0.39593,0.46651,0.9961,0.0,0.22649,0.0
0.82075,0.01051,0.81265,0.0003,0.0,0.08433,0.65999,0.0,0.0,0.031,0.50813,0.42983,0.86565,0.0,0.4107,0.0
0.0,0.01062,0.89802,0.00031,0.0,0.11917,0.53697,0.0,0.0,0.03233,0.51324,0.47026,0.61116,0.0,0.27831,0.0
